pagina,url,grupo,constructo,canal,nivel_esperado,trigger_esperado,justificacion
U03,https://www.minjusticia.gov.co/,G1,Agrupacion perceptual,wireframe,,,
U03,https://www.minjusticia.gov.co/,G2,Arquitectura de decision,wireframe,,,
U03,https://www.minjusticia.gov.co/,G3,Capacidad y segmentacion,wireframe,,,
U03,https://www.minjusticia.gov.co/,G4,Saliencia visual,screenshot,,,
U03,https://www.minjusticia.gov.co/,G5,Posicion y progreso,wireframe,,,
U03,https://www.minjusticia.gov.co/,G6,Economia y convencion,wireframe,,,
U03,https://www.minjusticia.gov.co/,G7,Targeting motor,wireframe,,,
U04,https://www.minambiente.gov.co/,G1,Agrupacion perceptual,wireframe,,,
U04,https://www.minambiente.gov.co/,G2,Arquitectura de decision,wireframe,,,
U04,https://www.minambiente.gov.co/,G3,Capacidad y segmentacion,wireframe,,,
U04,https://www.minambiente.gov.co/,G4,Saliencia visual,screenshot,,,
U04,https://www.minambiente.gov.co/,G5,Posicion y progreso,wireframe,,,
U04,https://www.minambiente.gov.co/,G6,Economia y convencion,wireframe,,,
U04,https://www.minambiente.gov.co/,G7,Targeting motor,wireframe,,,
U18,https://www.ktronix.com/,G1,Agrupacion perceptual,wireframe,,,
U18,https://www.ktronix.com/,G2,Arquitectura de decision,wireframe,,,
U18,https://www.ktronix.com/,G3,Capacidad y segmentacion,wireframe,,,
U18,https://www.ktronix.com/,G4,Saliencia visual,screenshot,,,
U18,https://www.ktronix.com/,G5,Posicion y progreso,wireframe,,,
U18,https://www.ktronix.com/,G6,Economia y convencion,wireframe,,,
U18,https://www.ktronix.com/,G7,Targeting motor,wireframe,,,
U20,https://d1.com.co/,G1,Agrupacion perceptual,wireframe,,,
U20,https://d1.com.co/,G2,Arquitectura de decision,wireframe,,,
U20,https://d1.com.co/,G3,Capacidad y segmentacion,wireframe,,,
U20,https://d1.com.co/,G4,Saliencia visual,screenshot,,,
U20,https://d1.com.co/,G5,Posicion y progreso,wireframe,,,
U20,https://d1.com.co/,G6,Economia y convencion,wireframe,,,
U20,https://d1.com.co/,G7,Targeting motor,wireframe,,,
U28,https://www.expresobrasilia.com/,G1,Agrupacion perceptual,wireframe,,,
U28,https://www.expresobrasilia.com/,G2,Arquitectura de decision,wireframe,,,
U28,https://www.expresobrasilia.com/,G3,Capacidad y segmentacion,wireframe,,,
U28,https://www.expresobrasilia.com/,G4,Saliencia visual,screenshot,,,
U28,https://www.expresobrasilia.com/,G5,Posicion y progreso,wireframe,,,
U28,https://www.expresobrasilia.com/,G6,Economia y convencion,wireframe,,,
U28,https://www.expresobrasilia.com/,G7,Targeting motor,wireframe,,,
U33,https://www.bancocajasocial.com/,G1,Agrupacion perceptual,wireframe,,,
U33,https://www.bancocajasocial.com/,G2,Arquitectura de decision,wireframe,,,
U33,https://www.bancocajasocial.com/,G3,Capacidad y segmentacion,wireframe,,,
U33,https://www.bancocajasocial.com/,G4,Saliencia visual,screenshot,,,
U33,https://www.bancocajasocial.com/,G5,Posicion y progreso,wireframe,,,
U33,https://www.bancocajasocial.com/,G6,Economia y convencion,wireframe,,,
U33,https://www.bancocajasocial.com/,G7,Targeting motor,wireframe,,,
U43,https://www.bluradio.com/,G1,Agrupacion perceptual,wireframe,,,
U43,https://www.bluradio.com/,G2,Arquitectura de decision,wireframe,,,
U43,https://www.bluradio.com/,G3,Capacidad y segmentacion,wireframe,,,
U43,https://www.bluradio.com/,G4,Saliencia visual,screenshot,,,
U43,https://www.bluradio.com/,G5,Posicion y progreso,wireframe,,,
U43,https://www.bluradio.com/,G6,Economia y convencion,wireframe,,,
U43,https://www.bluradio.com/,G7,Targeting motor,wireframe,,,
U44,https://www.senalcolombia.tv/,G1,Agrupacion perceptual,wireframe,,,
U44,https://www.senalcolombia.tv/,G2,Arquitectura de decision,wireframe,,,
U44,https://www.senalcolombia.tv/,G3,Capacidad y segmentacion,wireframe,,,
U44,https://www.senalcolombia.tv/,G4,Saliencia visual,screenshot,,,
U44,https://www.senalcolombia.tv/,G5,Posicion y progreso,wireframe,,,
U44,https://www.senalcolombia.tv/,G6,Economia y convencion,wireframe,,,
U44,https://www.senalcolombia.tv/,G7,Targeting motor,wireframe,,,
U47,https://www.museonacional.gov.co/,G1,Agrupacion perceptual,wireframe,,,
U47,https://www.museonacional.gov.co/,G2,Arquitectura de decision,wireframe,,,
U47,https://www.museonacional.gov.co/,G3,Capacidad y segmentacion,wireframe,,,
U47,https://www.museonacional.gov.co/,G4,Saliencia visual,screenshot,,,
U47,https://www.museonacional.gov.co/,G5,Posicion y progreso,wireframe,,,
U47,https://www.museonacional.gov.co/,G6,Economia y convencion,wireframe,,,
U47,https://www.museonacional.gov.co/,G7,Targeting motor,wireframe,,,
U48,https://www.banrepcultural.org/,G1,Agrupacion perceptual,wireframe,,,
U48,https://www.banrepcultural.org/,G2,Arquitectura de decision,wireframe,,,
U48,https://www.banrepcultural.org/,G3,Capacidad y segmentacion,wireframe,,,
U48,https://www.banrepcultural.org/,G4,Saliencia visual,screenshot,,,
U48,https://www.banrepcultural.org/,G5,Posicion y progreso,wireframe,,,
U48,https://www.banrepcultural.org/,G6,Economia y convencion,wireframe,,,
U48,https://www.banrepcultural.org/,G7,Targeting motor,wireframe,,,
